World Port Index Number,Region Name,Main Port Name,Alternate Port Name,UN/LOCODE,Country Code,World Water Body,IHO S-130 Sea Area,Latitude,Longitude,Tidal Range (m),Entrance Width (m),Channel Depth (m),Anchorage Depth (m),Cargo Pier Depth (m),Maximum Vessel Length (m),Maximum Vessel Beam (m),Maximum Vessel Draft (m),Harbor Size,Harbor Type,Harbor Use,Shelter Afforded,Entrance Restriction - Tide,Entrance Restriction - Heavy Swell,Entrance Restriction - Ice,Entrance Restriction - Other,Overhead Limits,Underkeel Clearance Management System,Good Holding Ground,Turning Area,Port Security,Traffic Separation Scheme,Vessel Traffic Service,Pilotage - Compulsory,Pilotage - Available
7950.0,United States E Coast -- 6585,Maurer, , ,United States,North Atlantic Ocean, ,40.533333,-74.25,1.5,0.0,11.0,11.0,11.0,0.0,0.0,0.0,Very Small,River (Natural),Unknown,Good,No,No,No,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown
47620.0,Madagascar -- 47350,Iharana, , ,Madagascar,Indian Ocean, ,-13.35,50.0,8.0,0.0,14.0,14.0,4.9,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Good,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes
47020.0,Tanzania -- 46965,Chake Chake, , ,Tanzania,Indian Ocean, ,-5.25,39.766667,0.0,0.0,14.0,12.5,0.0,0.0,0.0,0.0,Small,Coastal (Natural),Unknown,Fair,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes
47005.0,Tanzania -- 46965,Mjimwema Terminal, , ,Tanzania,Indian Ocean, ,-6.816667,39.366667,3.0,0.0,23.2,17.1,0.0,0.0,0.0,0.0,Very Small,Open Roadstead,Unknown,Poor,No,Yes,No,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes
44804.0,Turkey Asia -- 44360,Delta Terminal, , ,Turkey,Mediterranean Sea; North Atlantic Ocean, ,36.85,36.166667,0.0,0.0,0.0,23.2,0.0,0.0,0.0,0.0,Very Small,Open Roadstead,Unknown,Poor,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes
50350.0,Indonesia -- 50020,Cinta Oil Terminal, , ,Indonesia,"Indian Ocean, Java Sea; South Pacific Ocean", ,-5.5,106.233333,0.0,0.0,23.2,23.2,0.0,0.0,0.0,0.0,Very Small,Open Roadstead,Unknown,Poor,No,No,No,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes
38330.0,Gibraltar -- 38320,Europa Point, , ,Gibraltar,Strait of Gibraltar; North Atlantic Ocean, ,36.133333,-5.35,1.0,0.0,12.5,18.6,7.9,0.0,0.0,0.0,Medium,Coastal (Breakwater),Unknown,Good,No,Yes,No,Yes,No,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes
7010.0,United States E Coast -- 6585,New Harbor, , ,United States,North Atlantic Ocean, ,43.866667,-69.483333,2.7,0.0,6.4,6.4,1.8,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Fair,Yes,No,No,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes
12900.0,Brazil SE Coast -- 12700,Dtse / Gegua Oil Terminal, , ,Brazil,South Atlantic Ocean, ,-22.816667,-43.15,1.0,0.0,11.0,14.0,0.0,0.0,0.0,0.0,Medium,Open Roadstead,Unknown,Fair,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes
48104.0,Saudi Arabia -- 48100,Sharmah,Ash Sharmah, ,Saudi Arabia,Red Sea; Indian Ocean, ,27.933333,35.25,0.0,0.0,23.2,0.0,0.0,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Poor,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes
9210.0,US Gulf Coast -- 8650,Norsworthy, , ,United States,Gulf of Mexico; North Atlantic Ocean, ,29.733333,-95.2,0.3,0.0,11.0,9.4,9.4,0.0,0.0,0.0,Very Small,River (Natural),Unknown,Good,No,No,No,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown
6750.0,United States E Coast -- 6585,Minturn, , ,United States,North Atlantic Ocean, ,44.15,-68.45,3.0,0.0,1.8,9.4,0.0,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Good,Yes,No,No,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes
6820.0,United States E Coast -- 6585,Criehaven, , ,United States,North Atlantic Ocean, ,43.833333,-68.883333,2.7,0.0,1.8,1.8,1.8,0.0,0.0,0.0,Very Small,Coastal (Breakwater),Unknown,Poor,No,No,No,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No
46691.0,Ascension -- 46660,North Point, , ,"Saint Helena, Ascension, and Tristan da Cunha",South Atlantic Ocean, ,-7.883333,-14.366667,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,Small,Open Roadstead,Unknown,Poor,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
57433.0,Thailand -- 57431,Bongkot Terminal, , ,Thailand,Gulf of Thailand; South China Sea; North Pacific Ocean, ,8.05,102.333333,0.0,0.0,23.2,23.2,0.0,0.0,0.0,0.0,Very Small,Open Roadstead,Unknown,Poor,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Yes
52350.0,Sulawesi -- 51970,Donggala, , ,Indonesia,Makassar Strait; South Pacific Ocean, ,-0.65,119.733333,4.0,0.0,23.2,23.2,1.8,0.0,0.0,0.0,Very Small,Open Roadstead,Unknown,Fair,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown
42415.0,Greece East Coast -- 42010,Larimna,Larmes, ,Greece,Aegean Sea; Mediterranean Sea; North Atlantic Ocean, ,38.566667,23.283333,2.0,0.0,11.0,9.4,11.0,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Good,No,No,No,Yes,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
38420.0,Spain SE Coast -- 38340,Hornillo, , ,Spain,Mediterranean Sea; North Atlantic Ocean, ,37.4,-1.55,1.0,0.0,14.0,23.2,4.9,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Fair,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes
40245.0,Italy -- 39125,Melilli Oil Terminal, , ,Italy,Mediterranean Sea; North Atlantic Ocean, ,37.116667,15.25,1.0,0.0,21.6,23.2,0.0,0.0,0.0,0.0,Very Small,Open Roadstead,Unknown,Fair,No,No,No,Yes,No,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Yes,Yes
47942.0,Sudan -- 47910,Al Khair Oil Terminal, , ,Sudan,Red Sea; Indian Ocean, ,19.583333,37.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Small,Coastal (Natural),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown
6670.0,United States E Coast -- 6585,Corea, , ,United States,North Atlantic Ocean, ,44.4,-67.966667,3.4,0.0,1.8,1.8,1.8,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Fair,Yes,Yes,Yes,Yes,No,Unknown,Yes,Yes,Unknown,Unknown,Unknown,No,Yes
59550.0,Philippine Islands -- 57960,Margosatubig, , ,Philippines,Celebes Sea; North Pacific Ocean, ,7.583333,123.166667,5.0,0.0,17.1,23.2,3.4,0.0,0.0,0.0,Very Small,Coastal (Natural),Unknown,Excellent,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
45635.0,Algeria -- 45470,Arzew El Djedid, , ,Algeria,Mediterranean Sea; North Atlantic Ocean, ,35.816667,-0.25,0.0,0.0,7.9,23.2,0.0,0.0,0.0,0.0,Small,Coastal (Breakwater),Unknown,Poor,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Yes,Yes
